id,code,owner_customer_id,type,address,geom,market_value_myr,floor_area_sqft,year_built
4070b65c-6939-41bb-8f3e-d650d81c2b12,PROP00001,316958b8-077e-4ddc-832e-5507ec96ca52,apartment,"11823, Jalan Watkins Corner, South Christina, Selangor",SRID=4326;POINT(101.77596 3.009932),303804.69,4064,2022
a1ccebe5-7125-448f-9be1-6dbef4fd2f72,PROP00002,40608568-58fa-46a5-a056-f55b2e2f50f6,semi_detached,"8930, Jalan King Inlet, Maryton, Selangor",SRID=4326;POINT(101.758747 3.126866),1206789.63,2151,1985
fd32110b-62a8-4b9d-8a17-535e3af70e34,PROP00003,cce56c34-bcea-472f-a5d3-ac99f63b0243,semi_detached,"9960, Jalan Vaughn Throughway, Gardnermouth, Selangor",SRID=4326;POINT(101.597886 3.151535),755290.7,3724,1998
380dddf5-11ea-48a3-9973-aededf519327,PROP00004,4f5a2993-f7a0-4ade-8272-3592a69a57ab,apartment,"357, Jalan Robertson Walks, North Ronaldland, Selangor",SRID=4326;POINT(101.63328 3.083405),362427.26,1792,2007
8bea0467-8e59-4f3b-9f78-54d63c64aae2,PROP00005,06c5726e-3abf-4f0f-9603-2723d18a360a,terrace_house,"2028, Jalan Gabriel Mill, North Nicolefort, Selangor",SRID=4326;POINT(101.662853 3.05644),478863.41,2802,1993
21467c11-3fcd-4e5f-821f-1d76070d0fa2,PROP00006,172585f1-38fd-47cc-ad43-634469ea3ad6,apartment,"87286, Jalan Smith Crest, Forbesview, Selangor",SRID=4326;POINT(101.813495 3.03085),185469.07,3992,1993
fc604922-6a55-4182-8798-53ad58f1e661,PROP00007,04615435-d855-4c91-9f83-23d712c3b584,shop_lot,"595, Jalan Donald Pike, Port Christina, Selangor",SRID=4326;POINT(101.832306 2.882564),1425854.94,971,2013
d3fcf6cc-7dcd-4b8f-adb7-be807ff40c1e,PROP00008,ebc2ced3-0eeb-4c1e-97fc-47e2f4eda4c3,condominium,"589, Jalan Kennedy Fords, Saraberg, Selangor",SRID=4326;POINT(101.734557 3.143972),660143.27,3996,1993
949d3b0c-942a-4a55-8dc8-232155eae0d9,PROP00009,c97a3257-542a-45fe-b115-a9eded86fa26,semi_detached,"87056, Jalan Edward Cliff, West Jacquelineborough, Selangor",SRID=4326;POINT(101.688273 3.108118),1187416.69,3750,1996
38570a63-fd64-4ca7-b527-b6bc66f07834,PROP00010,46daaac2-0975-47d3-aea2-5c99de32fc0a,condominium,"187, Jalan Davis Road, Wheelerland, Selangor",SRID=4326;POINT(101.769783 3.112658),654204.17,4285,2010
a0fbb267-6991-444d-888a-ee68400d6a53,PROP00011,27815d1e-5224-47c0-a03d-a64bcf42768c,terrace_house,"8350, Jalan Joshua View, Silvaport, Selangor",SRID=4326;POINT(101.642049 3.172076),508486.03,1116,2007
65c0f56b-ab5d-4d19-b245-21b00b3fd0ad,PROP00012,981ad55d-c1ba-4dfe-8dea-cfe8a27017bd,terrace_house,"9648, Jalan Chris Drives, Lake Javierburgh, Selangor",SRID=4326;POINT(101.686238 3.223085),685600.61,3001,1995
bb2679ed-8d5c-4632-a4f3-77e846f0da82,PROP00013,ccf26661-fe85-4696-98c0-d5318cf28e06,apartment,"9128, Jalan Rivera Trail, Tammyfort, Selangor",SRID=4326;POINT(101.614526 3.350901),182049.28,1219,1987
c6221df4-9e1e-4233-8ccd-6a758f21ac41,PROP00014,b1d89620-2c08-410e-8ff7-4439a3603361,terrace_house,"20331, Jalan Douglas Mountains, West Christianton, Selangor",SRID=4326;POINT(101.68697 3.136933),392497.16,1580,2000
92181904-f023-48ba-947f-a08a775c2d1e,PROP00015,ea941b9a-e6eb-4247-83dd-03186c4788ec,semi_detached,"87675, Jalan Mason Crest, New Phillip, Selangor",SRID=4326;POINT(101.657412 2.962444),1243775.79,947,2023
5bf9ab59-5464-4c8d-a530-998d2a803d7e,PROP00016,e5a8aeb6-31ef-4995-bf5e-f3a68a1ae2f2,terrace_house,"7548, Jalan Schmidt Rapids, East Sonia, Selangor",SRID=4326;POINT(101.719358 3.155997),423522.85,2982,2006
4023872e-3250-4fbc-ae03-2fc06463af23,PROP00017,daef1cc1-e22a-4626-8bac-2bade55a4ef1,condominium,"2687, Jalan Neal Glen, New Rachelstad, Selangor",SRID=4326;POINT(101.549978 3.288367),805011.81,2142,2002
d268d496-3419-46eb-8675-7d825d3843c2,PROP00018,1a52a47d-3f2d-428f-bb12-127cf55f6f11,shop_lot,"05756, Jalan Christina Wells, South Neil, Selangor",SRID=4326;POINT(101.506658 3.318795),1052699.32,3056,2004
97fdcf8e-74d3-4a41-9bc9-777f5025a2cc,PROP00019,639ce77e-ba95-4430-9de4-f0d4cfd03b96,bungalow,"037, Jalan Fox Avenue, Markstad, Selangor",SRID=4326;POINT(101.681253 2.951396),3067359.57,1184,1999
b898fddd-ce56-411a-a74e-d8ff7986bca2,PROP00020,afc3c323-ab82-41c7-9ba5-28529168bd95,apartment,"8094, Jalan Deborah Row, Sandersview, Selangor",SRID=4326;POINT(101.606957 3.095995),376278.2,1489,1993
c787cd2d-1414-4c49-a0df-d0d0d4ee6fb8,PROP00021,e1bd1e3a-6f8d-40aa-ae1f-63267452aa0a,semi_detached,"0907, Jalan Henry Mountains, North Mikeberg, Selangor",SRID=4326;POINT(101.622457 3.272617),1285800.61,2519,2014
cd793103-eb69-449a-a30a-b7c9d3ed2c45,PROP00022,ffba2b42-8544-4377-b960-93d2e0ac6b83,terrace_house,"221, Jalan Flowers Crest, South Danaton, Selangor",SRID=4326;POINT(101.450212 3.051095),463945.53,2143,2003
1ddbf6b5-3d04-46e7-9fff-f8cf76872542,PROP00023,3cb16523-ee93-453b-afdf-00fd7c78ffe9,condominium,"1843, Jalan Marvin Spring, Rachaelburgh, Selangor",SRID=4326;POINT(101.799818 2.93662),566362.73,3804,1992
25863cab-7ed5-48a7-9cf6-c62eccbd4cb6,PROP00024,e3035a86-b573-47f9-9843-d250f02ab111,apartment,"580, Jalan Butler Shores, North Jameshaven, Selangor",SRID=4326;POINT(101.429742 3.041491),232869.16,3116,1991
d6316548-221e-4bc3-9d08-1343ddcdddc6,PROP00025,0c301d07-b399-4548-a338-baa7f4dda2a3,semi_detached,"41270, Jalan Franklin Spurs, Thompsontown, Selangor",SRID=4326;POINT(101.598753 3.221298),1085117.38,2323,2012
3ed8dccf-3ace-4655-89a6-6c0f3ab74884,PROP00026,4082e02b-02cc-42c7-8768-ff8267243cbc,shop_lot,"4851, Jalan Owens Villages, New Sarahland, Selangor",SRID=4326;POINT(101.572245 3.009485),1206397.1,4271,2011
27d4c369-3d9f-4db0-b060-5ef9c6981451,PROP00027,a80f8f23-ec20-483a-bd23-ae16711d9de9,bungalow,"12125, Jalan Katie Turnpike, East Danamouth, Selangor",SRID=4326;POINT(101.563866 3.084144),1568278.24,954,2005
562b01e7-a9e6-44a7-9a6c-748265735eb5,PROP00028,61d280d6-edc4-4541-a0f6-bf61df775dd4,shop_lot,"34324, Jalan Nicolas Heights, West Donald, Selangor",SRID=4326;POINT(101.666555 3.12885),611268.66,3554,1988
048476f8-da80-44a0-81af-dd5354cb7840,PROP00029,0e69a77b-6018-4866-9164-d189e935c76e,shop_lot,"6334, Jalan Gregory Hill, Heidiview, Selangor",SRID=4326;POINT(101.554459 3.227542),670815.78,2559,2020
6ca2987d-7a63-4586-8459-d0ffde26ac22,PROP00030,6a956b5f-f459-4330-94ae-427bfc2e626a,semi_detached,"75955, Jalan Gallegos Spur, North Stephanie, Selangor",SRID=4326;POINT(101.527968 3.205859),1266279.57,2557,2012
e2915ce8-2339-44b8-9bf9-fe76d7dd7cd0,PROP00031,f4dae56e-96f1-441d-bd0a-4b8ee247b2ab,condominium,"628, Jalan Victoria Mews, Debbieport, Selangor",SRID=4326;POINT(101.69048 3.163593),419053.5,2591,1992
3d7bd8e8-9120-4d08-8264-de9ef6d27bd7,PROP00032,0dcd6b78-8e28-4a5a-98e8-3263509ef3fd,terrace_house,"58841, Jalan Jonathan Mountain, Anthonyville, Selangor",SRID=4326;POINT(101.610374 3.004225),697601.88,2150,2018
097d6328-91a4-49eb-9ba1-80199336b055,PROP00033,9c68468c-d46e-4f37-9e30-a6245a284f6b,apartment,"272, Jalan Willis Landing, Barrettton, Selangor",SRID=4326;POINT(101.704417 3.170483),291802.97,4333,2016
ca15c8d9-74d1-4eaa-8b5f-660e761f2347,PROP00034,48131787-f784-4ba7-bb13-b29e3b225403,condominium,"1502, Jalan Alvarez Junction, East Robinport, Selangor",SRID=4326;POINT(101.656222 3.11494),663764.42,1388,1986
874a7cac-e6ab-4a88-ad42-5c6fd81d6266,PROP00035,66d9daf3-597d-4ba2-a539-b27b50432095,condominium,"78207, Jalan Watkins Square, Simonfort, Selangor",SRID=4326;POINT(101.597962 3.23052),572133.52,1978,2000
5c311762-3e7c-4f9e-b9e4-34d70dfe1a24,PROP00036,ba919741-a897-43a5-8d62-f7b5b438395f,shop_lot,"45957, Jalan Evans Wells, Port Sarah, Selangor",SRID=4326;POINT(101.730988 3.120726),722753.98,1596,1989
7e744d0a-b92e-4d4d-a560-eca48a9e7da5,PROP00037,9aeca843-dc1c-403d-b5a4-da85622caad0,apartment,"166, Jalan Finley Locks, East Williamport, Selangor",SRID=4326;POINT(101.738615 3.059082),341848.32,3165,2017
5c442ca4-9a77-445d-8a87-d6da11c1760e,PROP00038,68542f0f-ec48-40db-bbfe-c0860412865b,condominium,"839, Jalan David Isle, North Kyleberg, Selangor",SRID=4326;POINT(101.410746 3.072065),376085.97,2560,2019
b398eb13-64b6-486d-acb9-0d12741c9e86,PROP00039,e1c3f367-a26e-4521-83db-8ee90c65cbc9,shop_lot,"7627, Jalan Donna Flats, West Kyle, Selangor",SRID=4326;POINT(101.526306 3.196032),1330616.31,3882,2016
9974e7ea-94c1-47ab-abb9-f782b58ac1b8,PROP00040,d3d12c59-3bc0-403b-ac37-bd360fccad4a,apartment,"33613, Jalan Gail Vista, Adamburgh, Selangor",SRID=4326;POINT(101.741061 3.019609),421789.53,4365,2018
b8e6fb3c-318d-45d3-92e0-dace8dac84e9,PROP00041,d652e7b2-bb79-4359-a94f-22d5d29fc36d,apartment,"1786, Jalan Roberta Skyway, Guerrabury, Selangor",SRID=4326;POINT(101.552474 3.090382),360170.71,724,2009
d90b7faa-8b64-4a7c-83d1-c3e4c11f6a95,PROP00042,d58db711-c0b0-4897-a1d6-c85cbf0d0814,semi_detached,"62526, Jalan Villanueva Viaduct, Carlsonside, Selangor",SRID=4326;POINT(101.438969 3.024871),1053627.41,1353,2012
f5f9a1b3-e004-4bad-98b4-9422b42ec3e9,PROP00043,fbab5ec8-a9e5-4dfc-a3e7-5843b491616c,condominium,"57903, Jalan Katrina Land, Matthewtown, Selangor",SRID=4326;POINT(101.819067 2.965628),822902.73,2110,1989
c2370d5b-9706-4fdc-84bb-6c50362853d3,PROP00044,6a26fce8-8277-4328-90b7-8a7c658bd1e3,apartment,"961, Jalan Devin Field, East Kevinland, Selangor",SRID=4326;POINT(101.840265 2.95652),265299.12,2014,1999
4e7c1a3c-4eb8-4831-8983-9429e3c969c1,PROP00045,3d25b6ec-6aa2-4e79-ab97-51a861b904d6,semi_detached,"6262, Jalan Collins Spring, Johnsonchester, Selangor",SRID=4326;POINT(101.730825 2.97591),1555164.03,2096,2010
8ee01e0b-ba4d-40d5-8857-17f7f79569d4,PROP00046,c2474aac-8615-4748-856a-019b1263c465,bungalow,"26817, Jalan Michael Street, Lake Michelletown, Selangor",SRID=4326;POINT(101.785083 3.153762),2279301.84,2282,2001
9d3fb390-51dc-465f-9c91-5cb70e84320d,PROP00047,3b612fb8-2943-4d4e-bbbf-b4ce02896ffb,bungalow,"52986, Jalan Smith Shoal, Hendersonton, Selangor",SRID=4326;POINT(101.894186 2.947583),2179479.12,1274,2002
9d775ad3-2542-4d18-9d8b-bf72370b3dd0,PROP00048,66010112-1f7b-457b-ae2c-dd4c63456450,shop_lot,"6419, Jalan Shaw Tunnel, Josephside, Selangor",SRID=4326;POINT(101.567219 3.050592),1051412.23,1092,1986
ff627c7f-29a8-4f3c-bff4-55d6b6bbe2c3,PROP00049,f85b77d5-ecbb-4f83-a9b6-1032005b8bca,apartment,"1268, Jalan Berg Common, North Matthew, Selangor",SRID=4326;POINT(101.70062 3.177372),181569.66,2292,2022
